,cost,meters,rooms,dist,floor
956,480000.0,40.0,2.0,Wilda,2.0
957,388224.0,40.44,2.0,Nowe Miasto,5.0
958,493625.0,39.49,1.0,Wilda,0.0
959,366597.0,37.03,2.0,Jeżyce,0.0
960,403005.0,40.1,2.0,Nowe Miasto,0.0
961,360712.0,40.99,2.0,Stare Miasto,0.0
962,439000.0,42.25,2.0,Jeżyce,1.0
963,461000.0,76.5,4.0,Nowe Miasto,1.0
964,498400.0,57.96,3.0,Nowe Miasto,0.0
965,496900.0,57.78,3.0,Nowe Miasto,1.0
966,368700.0,43.9,2.0,Jeżyce,2.0
967,646200.0,81.8,3.0,Jeżyce,1.0
968,629000.0,66.93,3.0,Grunwald,1.0
969,549300.0,65.4,4.0,Jeżyce,0.0
970,677000.0,86.0,4.0,Stare Miasto,1.0
971,599000.0,83.0,4.0,Grunwald,0.0
972,594875.0,47.59,2.0,Wilda,0.0
973,531944.0,57.82,3.0,Jeżyce,0.0
974,537680.0,57.2,3.0,Nowe Miasto,3.0
975,408030.0,40.6,2.0,Nowe Miasto,0.0
976,360712.0,40.99,2.0,Stare Miasto,0.0
977,417375.0,33.39,2.0,Wilda,6.0
978,385578.0,41.46,2.0,Nowe Miasto,5.0
979,384800.0,41.6,2.0,Nowe Miasto,1.0
980,507020.0,60.62,4.0,Stare Miasto,0.0
981,442522.0,41.96,2.0,Stare Miasto,0.0
982,435891.0,39.99,2.0,Wilda,5.0
983,342408.0,38.91,2.0,Stare Miasto,0.0
984,376150.0,40.23,2.0,Nowe Miasto,0.0
985,410040.0,40.8,2.0,Nowe Miasto,2.0
986,352514.0,40.99,2.0,Stare Miasto,0.0
987,699000.0,91.0,4.0,wielkopolskie,0.0
988,699000.0,86.0,4.0,wielkopolskie,0.0
989,685975.0,59.65,3.0,Wilda,0.0
990,566130.0,66.8,4.0,Nowe Miasto,4.0
991,352514.0,40.99,2.0,Stare Miasto,0.0
992,499861.0,57.65,4.0,Nowe Miasto,7.0
993,479000.0,65.39,3.0,Grunwald,1.0
994,351411.0,40.42,2.0,Nowe Miasto,3.0
995,343064.0,36.38,1.0,Nowe Miasto,2.0
996,338574.0,36.08,2.0,Nowe Miasto,0.0
997,352514.0,40.99,2.0,Stare Miasto,0.0
998,150000.0,19.96,1.0,Nowe Miasto,0.0
999,525136.0,57.08,3.0,Jeżyce,5.0
1000,525136.0,57.08,3.0,Jeżyce,5.0
1001,375507.0,37.93,1.0,Jeżyce,5.0
1002,524032.0,56.96,3.0,Jeżyce,5.0
1003,379000.0,36.43,2.0,Nowe Miasto,0.0
1004,293000.0,29.3,1.0,Jeżyce,4.0
1005,508944.0,55.32,3.0,Jeżyce,4.0
1006,360261.0,36.39,2.0,Jeżyce,4.0
1007,620330.0,69.7,3.0,Jeżyce,4.0
1008,619885.0,69.65,3.0,Jeżyce,4.0
1009,375408.0,37.92,1.0,Jeżyce,4.0
1010,627272.0,70.48,3.0,Jeżyce,4.0
1011,293000.0,29.3,1.0,Jeżyce,3.0
1012,508944.0,55.32,3.0,Jeżyce,3.0
1013,360261.0,36.39,2.0,Jeżyce,3.0
1014,620330.0,69.7,3.0,Jeżyce,3.0
1015,619885.0,69.65,3.0,Jeżyce,3.0
1016,375408.0,37.92,1.0,Jeżyce,3.0
1017,627272.0,70.48,3.0,Jeżyce,3.0
1018,293000.0,29.3,1.0,Jeżyce,2.0
1019,508944.0,55.32,3.0,Jeżyce,2.0
1020,360261.0,36.39,2.0,Jeżyce,2.0
1021,620330.0,69.7,3.0,Jeżyce,2.0
1022,644574.0,67.85,3.0,Nowe Miasto,3.0
1023,619885.0,69.65,3.0,Jeżyce,2.0
1024,375408.0,37.92,1.0,Jeżyce,2.0
1025,627272.0,70.48,3.0,Jeżyce,2.0
1026,604755.0,67.95,3.0,Jeżyce,2.0
1027,471960.0,49.68,3.0,Jeżyce,2.0
1028,323037.0,32.63,1.0,Jeżyce,2.0
1029,641514.0,52.87,2.0,Stare Miasto,1.0
1030,531944.0,57.82,3.0,Jeżyce,2.0
1031,366795.0,37.05,2.0,Jeżyce,2.0
1032,544732.0,59.21,3.0,Jeżyce,2.0
1033,516488.0,56.14,3.0,Jeżyce,2.0
1034,366399.0,37.01,2.0,Jeżyce,2.0
1035,531852.0,57.81,3.0,Jeżyce,2.0
1036,293000.0,29.3,1.0,Jeżyce,1.0
1037,508300.0,55.25,3.0,Jeżyce,1.0
1038,360261.0,36.39,2.0,Jeżyce,1.0
1039,375408.0,37.92,1.0,Jeżyce,1.0
1040,620330.0,69.7,3.0,Jeżyce,1.0
1041,619885.0,69.65,3.0,Jeżyce,1.0
1042,627272.0,70.48,3.0,Jeżyce,1.0
1043,604755.0,67.95,3.0,Jeżyce,1.0
1044,471960.0,49.68,3.0,Jeżyce,1.0
1045,323037.0,32.63,1.0,Jeżyce,1.0
1046,366795.0,37.05,2.0,Jeżyce,1.0
1047,544000.0,58.84,3.0,Nowe Miasto,2.0
1048,499900.0,65.29,2.0,Grunwald,3.0
1049,426455.0,44.89,2.0,Wilda,2.0
1050,671464.0,91.53,4.0,Stare Miasto,4.0
1051,684000.0,76.27,4.0,Nowe Miasto,1.0
1052,653000.0,68.53,3.0,Nowe Miasto,5.0
1053,531944.0,57.82,3.0,Jeżyce,1.0
1054,516488.0,56.14,3.0,Jeżyce,1.0
1055,544732.0,59.21,3.0,Jeżyce,1.0
1056,366597.0,37.03,2.0,Jeżyce,1.0
1057,532036.0,57.83,3.0,Jeżyce,1.0
1058,292900.0,29.29,1.0,Jeżyce,0.0
1059,508116.0,55.23,3.0,Jeżyce,0.0
1060,360261.0,36.39,2.0,Jeżyce,0.0
1061,619885.0,69.65,3.0,Jeżyce,0.0
1062,619885.0,69.65,3.0,Jeżyce,0.0
1063,375408.0,37.92,1.0,Jeżyce,0.0
1064,478332.0,46.44,2.0,Wilda,3.0
1065,482976.0,46.44,2.0,Wilda,4.0
1066,433810.0,46.15,2.0,Wilda,1.0
1067,463424.0,44.56,2.0,Wilda,2.0
1068,355725.0,40.44,2.0,Nowe Miasto,1.0
1069,635500.0,55.41,3.0,Stare Miasto,1.0
1070,409035.0,40.7,2.0,Nowe Miasto,0.0
1071,468762.0,48.5,2.0,Grunwald,2.0
1072,466395.0,54.87,2.0,Jeżyce,3.0
1073,521265.0,54.87,3.0,Jeżyce,0.0
1074,340061.0,36.12,2.0,Nowe Miasto,2.0
1075,610900.0,69.81,3.0,Jeżyce,2.0
1076,397800.0,39.64,2.0,Jeżyce,1.0
1077,423900.0,39.25,2.0,Jeżyce,3.0
1078,676678.0,83.6,4.0,Stare Miasto,1.0
1079,698000.0,91.0,4.0,wielkopolskie,1.0
1080,510432.0,49.08,2.0,Grunwald,3.0
1081,362000.0,48.0,3.0,wielkopolskie,3.0
1082,558000.0,69.7,3.0,wielkopolskie,3.0
1083,699000.0,77.0,4.0,Jeżyce,1.0
1084,539994.0,59.41,4.0,Nowe Miasto,8.0
1085,421800.0,42.18,2.0,Grunwald,1.0
1086,383502.0,40.69,2.0,Stare Miasto,2.0
1087,394880.0,43.58,2.0,Nowe Miasto,1.0
1088,496900.0,57.78,3.0,Nowe Miasto,1.0
1089,424900.0,51.2,2.0,Jeżyce,0.0
1090,430236.0,42.18,2.0,Grunwald,2.0
1091,551000.0,67.41,3.0,Grunwald,2.0
1092,499000.0,70.0,2.0,Grunwald,3.0
1093,465000.0,57.0,2.0,Grunwald,3.0
1094,495000.0,62.0,2.0,Grunwald,3.0
1095,289000.0,25.43,1.0,Grunwald,0.0
1096,498400.0,57.96,3.0,Nowe Miasto,0.0
1097,466395.0,54.87,3.0,Jeżyce,3.0
1098,434454.0,42.18,2.0,Grunwald,3.0
1099,508916.0,54.14,3.0,Stare Miasto,1.0
1100,482868.0,47.34,2.0,Wilda,4.0
1101,537285.0,41.65,2.0,Nowe Miasto,5.0
1102,646200.0,81.8,3.0,Jeżyce,1.0
1103,485610.0,46.38,2.0,Wilda,1.0
1104,352600.0,41.0,2.0,Stare Miasto,0.0
1105,537027.0,58.26,4.0,Nowe Miasto,4.0
1106,420028.0,42.86,2.0,Grunwald,1.0
1107,475100.0,55.25,3.0,Nowe Miasto,0.0
1108,354000.0,34.11,2.0,Grunwald,7.0
1109,424314.0,42.86,2.0,Grunwald,2.0
1110,498400.0,57.96,3.0,Nowe Miasto,0.0
1111,428600.0,42.86,2.0,Grunwald,3.0
1112,350500.0,40.29,2.0,Nowe Miasto,0.0
1113,534888.0,58.14,3.0,Stare Miasto,1.0
1114,352514.0,40.99,2.0,wielkopolskie,0.0
1115,677800.0,71.35,4.0,Nowe Miasto,0.0
1116,583200.0,64.8,3.0,Stare Miasto,0.0
1117,499700.0,52.6,2.0,Stare Miasto,0.0
1118,498400.0,57.96,3.0,Nowe Miasto,0.0
1119,368700.0,43.9,2.0,Jeżyce,2.0
1120,487900.0,59.5,3.0,Jeżyce,2.0
1121,449700.0,44.73,2.0,Wilda,3.0
1122,546470.0,32.91,1.0,Stare Miasto,1.0
1123,448043.0,46.19,2.0,Wilda,2.0
1124,341066.0,20.54,1.0,Stare Miasto,4.0
1125,345224.0,21.59,1.0,Stare Miasto,1.0
1126,540000.0,60.0,3.0,Stare Miasto,3.0
1127,599000.0,83.0,4.0,Grunwald,1.0
1128,388032.0,40.42,2.0,Nowe Miasto,8.0
1129,454000.0,45.4,2.0,Grunwald,0.0
1130,463000.0,47.63,2.0,Grunwald,0.0
1131,339900.0,41.41,2.0,Stare Miasto,0.0
1132,328768.0,37.36,2.0,wielkopolskie,5.0
1133,424900.0,51.2,2.0,Jeżyce,0.0
1134,424900.0,51.2,2.0,Jeżyce,0.0
1135,350500.0,40.29,2.0,Nowe Miasto,0.0
1136,677800.0,71.35,4.0,Nowe Miasto,0.0
1137,566375.0,45.31,2.0,Wilda,3.0
1138,699000.0,91.0,4.0,wielkopolskie,0.0
1139,541170.0,60.13,3.0,Stare Miasto,1.0
1140,543812.0,59.11,3.0,Stare Miasto,1.0
1141,569448.0,64.71,3.0,Jeżyce,2.0
1142,676660.0,58.84,3.0,Wilda,0.0
1143,482035.0,56.71,3.0,Grunwald,0.0
1144,382580.0,40.7,2.0,Nowe Miasto,1.0
1145,510255.0,60.03,3.0,Grunwald,1.0
1146,639975.0,55.65,2.0,Wilda,0.0
1147,408000.0,37.36,2.0,Jeżyce,3.0
1148,347600.0,29.83,1.0,Wilda,1.0
1149,498400.0,57.96,3.0,Nowe Miasto,0.0
1150,368700.0,43.9,2.0,Jeżyce,2.0
1151,289831.0,26.59,1.0,Nowe Miasto,5.0
1152,603875.0,48.31,2.0,Wilda,0.0
1153,464000.0,55.89,3.0,Grunwald,2.0
1154,350500.0,40.29,2.0,Nowe Miasto,0.0
1155,503200.0,63.7,3.0,Jeżyce,1.0
1156,603292.0,64.18,3.0,Wilda,4.0
1157,495295.0,58.27,3.0,Grunwald,3.0
1158,687010.0,59.74,3.0,Wilda,0.0
1159,487900.0,59.5,3.0,Jeżyce,2.0
1160,495295.0,58.27,3.0,Grunwald,2.0
1161,676660.0,58.84,3.0,Wilda,0.0
1162,469000.0,55.05,4.0,Nowe Miasto,0.0
1163,562500.0,75.0,3.0,Nowe Miasto,0.0
1164,455000.0,49.73,3.0,Stare Miasto,4.0
1165,646200.0,81.8,3.0,Jeżyce,1.0
1166,342720.0,40.32,2.0,Nowe Miasto,2.0
1167,516000.0,67.33,3.0,Grunwald,0.0
1168,427000.0,46.43,2.0,Grunwald,1.0
1169,649000.0,83.0,4.0,Grunwald,0.0
1170,367164.0,39.48,2.0,wielkopolskie,7.0
1171,679995.0,59.13,3.0,Wilda,0.0
1172,330885.0,34.83,2.0,Grunwald,9.0
1173,327000.0,35.49,2.0,Stare Miasto,0.0
1174,439000.0,46.73,2.0,Grunwald,0.0
1175,417000.0,46.17,2.0,Grunwald,0.0
1176,498400.0,57.96,3.0,Nowe Miasto,0.0
1177,432000.0,45.58,2.0,Jeżyce,3.0
1178,411000.0,37.36,2.0,Jeżyce,3.0
1179,417000.0,39.64,2.0,Jeżyce,3.0
1180,508000.0,51.85,3.0,Jeżyce,2.0
1181,406000.0,39.64,2.0,Jeżyce,2.0
1182,501000.0,51.61,3.0,Jeżyce,2.0
1183,409400.0,29.94,1.0,Wilda,0.0
1184,280000.0,32.54,1.0,Stare Miasto,0.0
1185,518245.0,60.97,3.0,Grunwald,2.0
1186,350500.0,40.29,2.0,Nowe Miasto,0.0
1187,432930.0,48.74,3.0,Stare Miasto,2.0
1188,688200.0,70.95,4.0,Nowe Miasto,2.0
1189,610000.0,66.09,3.0,Jeżyce,0.0
1190,454400.0,42.27,2.0,Wilda,3.0
1191,520000.0,70.59,4.0,Grunwald,2.0
1192,353759.0,36.47,2.0,Grunwald,0.0
1193,640435.0,55.69,2.0,Wilda,1.0
1194,485000.0,47.55,2.0,Nowe Miasto,5.0
1195,387000.0,42.77,2.0,Jeżyce,4.0
1196,387000.0,42.7,2.0,Jeżyce,0.0
1197,369000.0,62.5,3.0,wielkopolskie,0.0
1198,342720.0,40.32,2.0,Nowe Miasto,0.0
1199,528100.0,52.81,2.0,Grunwald,1.0
1200,399000.0,47.19,3.0,Stare Miasto,2.0
1201,399000.0,47.19,3.0,Stare Miasto,3.0
1202,383148.0,37.8,2.0,Nowe Miasto,0.0
1203,461407.0,49.18,3.0,Nowe Miasto,5.0
1204,400107.0,37.93,2.0,Nowe Miasto,8.0
1205,495000.0,59.41,4.0,Nowe Miasto,1.0
1206,567000.0,77.0,4.0,Stare Miasto,2.0
1207,468666.0,47.34,2.0,Wilda,2.0
1208,303048.0,28.06,1.0,Nowe Miasto,0.0
1209,412400.0,38.72,2.0,Wilda,1.0
1210,378483.0,37.66,2.0,Nowe Miasto,1.0
1211,438768.0,49.86,4.0,wielkopolskie,7.0
1212,546336.0,65.04,3.0,Stare Miasto,1.0
1213,426732.0,49.62,2.0,Stare Miasto,2.0
1214,549999.0,52.95,3.0,Wilda,2.0
1215,343500.0,21.69,1.0,Stare Miasto,1.0
1216,526361.0,48.29,4.0,Jeżyce,0.0
1217,287000.0,26.01,1.0,Grunwald,3.0
1218,525928.0,75.24,3.0,Stare Miasto,3.0
1219,510000.0,50.0,3.0,Stare Miasto,4.0
1220,450000.0,67.0,2.0,Stare Miasto,4.0
1221,320000.0,27.0,1.0,Jeżyce,1.0
1222,635700.0,55.46,3.0,Wilda,2.0
1223,547300.0,46.07,2.0,Wilda,2.0
1224,339800.0,33.0,2.0,Stare Miasto,2.0
1225,380700.0,37.73,2.0,Wilda,1.0
1226,620900.0,62.97,3.0,Wilda,1.0
1227,447128.0,50.81,2.0,Stare Miasto,2.0
1228,653040.0,72.56,4.0,Jeżyce,0.0
1229,478202.0,52.84,3.0,Nowe Miasto,4.0
1230,361700.0,43.06,2.0,Nowe Miasto,0.0
1231,331700.0,39.97,2.0,Nowe Miasto,1.0
1232,399000.0,42.47,2.0,Nowe Miasto,5.0
1233,389436.0,42.0,2.0,Nowe Miasto,1.0
1234,369000.0,39.35,1.0,Nowe Miasto,3.0
1235,388290.0,45.15,2.0,Stare Miasto,2.0
1236,487706.0,56.71,3.0,Stare Miasto,2.0
1237,350500.0,40.29,2.0,Nowe Miasto,0.0
1238,397320.0,45.15,2.0,Stare Miasto,2.0
1239,347000.0,40.55,2.0,Nowe Miasto,5.0
1240,388290.0,45.15,2.0,Stare Miasto,2.0
1241,620000.0,69.49,3.0,Grunwald,7.0
1242,432000.0,46.64,2.0,Grunwald,0.0
1243,279705.0,32.15,2.0,Nowe Miasto,0.0
1244,374850.0,44.1,3.0,Nowe Miasto,0.0
1245,643500.0,53.38,3.0,Wilda,6.0
1246,466500.0,37.32,2.0,Wilda,1.0
1247,276020.0,26.76,1.0,Grunwald,3.0
1248,288021.0,25.25,1.0,Grunwald,9.0
1249,515352.0,47.28,2.0,Wilda,1.0
1250,530166.0,58.26,4.0,Nowe Miasto,6.0
1251,460000.0,51.2,2.0,Nowe Miasto,0.0
1252,512688.0,61.18,3.0,Stare Miasto,4.0
1253,483795.0,57.22,4.0,Nowe Miasto,7.0
1254,537082.0,59.15,4.0,Grunwald,4.0
1255,369512.0,39.52,2.0,Stare Miasto,4.0
1256,622318.0,75.8,4.0,Grunwald,5.0
1257,501100.0,44.86,1.0,Wilda,1.0
1258,397320.0,45.15,2.0,Stare Miasto,2.0
1259,397320.0,45.15,2.0,Stare Miasto,2.0
1260,341666.0,41.27,2.0,łówna,4.0
1261,487706.0,56.71,3.0,Stare Miasto,1.0
1262,352514.0,40.99,2.0,Stare Miasto,0.0
1263,399200.0,29.79,1.0,Wilda,1.0
1264,677700.0,60.38,3.0,Wilda,1.0
1265,420413.0,38.57,2.0,Wilda,5.0
1266,351440.0,38.2,2.0,Nowe Miasto,1.0
1267,315000.0,31.75,1.0,Nowe Miasto,0.0
1268,691300.0,60.0,3.0,Wilda,1.0
1269,573300.0,46.44,2.0,Wilda,3.0
1270,686100.0,61.68,3.0,Wilda,3.0
1271,401400.0,29.94,1.0,Wilda,1.0
1272,551000.0,67.41,3.0,Grunwald,2.0
1273,427000.0,46.43,2.0,Grunwald,1.0
1274,449798.0,44.89,2.0,Wilda,2.0
1275,432000.0,46.64,2.0,Grunwald,0.0
1276,452000.0,46.78,2.0,Grunwald,5.0
1277,623000.0,55.41,3.0,Wilda,1.0
1278,304056.0,30.9,1.0,Grunwald,6.0
1279,430708.0,45.82,2.0,Grunwald,4.0
1280,674000.0,60.3,3.0,Nowe Miasto,1.0
1281,360712.0,40.99,2.0,Stare Miasto,0.0
1282,688000.0,76.61,4.0,Nowe Miasto,2.0
1283,395000.0,29.79,1.0,Wilda,2.0
1284,399126.0,43.86,2.0,Stare Miasto,1.0
1285,424000.0,46.92,2.0,Grunwald,2.0
1286,441714.0,48.54,2.0,Nowe Miasto,1.0
1287,494472.0,56.19,4.0,wielkopolskie,5.0
1288,404500.0,29.87,1.0,Wilda,3.0
1289,394400.0,33.72,1.0,Wilda,3.0
1290,501100.0,44.86,2.0,Wilda,2.0
1291,445004.0,48.37,3.0,Grunwald,0.0
1292,359600.0,39.96,2.0,Nowe Miasto,2.0
1293,444297.0,41.33,2.0,Wilda,1.0
1294,441180.0,41.04,2.0,Wilda,2.0
1295,286217.0,36.23,2.0,Wilda,0.0
1296,347600.0,29.83,1.0,Wilda,1.0
1297,308070.0,29.34,1.0,wielkopolskie,0.0
1298,427000.0,46.43,2.0,Grunwald,1.0
1299,604240.0,72.8,4.0,Nowe Miasto,3.0
1300,474804.0,43.56,2.0,Wilda,1.0
1301,623000.0,55.41,3.0,Wilda,1.0
1302,529000.0,59.0,3.0,Jeżyce,3.0
1303,399200.0,29.79,1.0,Wilda,1.0
1304,677700.0,55.49,3.0,Wilda,5.0
1305,662000.0,88.14,4.0,Stare Miasto,4.0
1306,439900.0,42.9,2.0,Jeżyce,0.0
1307,357000.0,41.48,2.0,Nowe Miasto,0.0
1308,449798.0,44.89,2.0,Wilda,3.0
1309,478134.0,47.34,2.0,Wilda,2.0
1310,378882.0,47.37,2.0,Nowe Miasto,5.0
1311,435891.0,39.99,2.0,Wilda,5.0
1312,489301.0,44.89,2.0,Wilda,3.0
1313,506196.0,46.44,2.0,Wilda,4.0
1314,690200.0,60.41,3.0,Wilda,2.0
1315,380700.0,37.36,2.0,Wilda,0.0
1316,480400.0,44.37,2.0,Wilda,3.0
1317,392980.0,40.12,2.0,Nowe Miasto,0.0
1318,405720.0,44.1,3.0,Nowe Miasto,2.0
1319,623000.0,55.41,3.0,Wilda,1.0
1320,408030.0,40.6,2.0,Nowe Miasto,0.0
1321,425500.0,30.1,1.0,Wilda,1.0
1322,399200.0,29.79,1.0,Wilda,1.0
1323,385000.0,35.76,2.0,Wilda,2.0
1324,352800.0,28.34,1.0,Wilda,0.0
1325,461648.0,52.46,3.0,wielkopolskie,5.0
1326,503722.0,44.42,2.0,Grunwald,2.0
1327,395000.0,35.39,2.0,Jeżyce,0.0
1328,328000.0,30.34,1.0,Jeżyce,1.0
1329,396000.0,37.36,2.0,Jeżyce,1.0
1330,352800.0,35.7,1.0,Wilda,0.0
1331,352800.0,28.34,1.0,Wilda,0.0
1332,488300.0,44.37,2.0,Wilda,0.0
1333,514000.0,47.9,2.0,Wilda,0.0
1334,569900.0,55.31,3.0,Wilda,0.0
1335,517250.0,41.38,2.0,Wilda,1.0
1336,466125.0,37.29,1.0,Wilda,0.0
1337,437633.0,50.74,3.0,Stare Miasto,2.0
1338,421110.0,46.79,3.0,Stare Miasto,1.0
1339,437333.0,51.3,3.0,Stare Miasto,0.0
1340,562486.0,66.56,3.0,Stare Miasto,5.0
1341,461000.0,76.5,4.0,Nowe Miasto,0.0
1342,527675.0,75.49,3.0,Stare Miasto,2.0
1343,526766.0,75.36,3.0,Stare Miasto,1.0
1344,688200.0,71.0,4.0,Nowe Miasto,4.0
1345,646716.0,76.99,4.0,Jeżyce,0.0
1346,374850.0,44.1,2.0,Nowe Miasto,2.0
1347,599564.0,65.17,3.0,Stare Miasto,4.0
1348,396100.0,45.54,2.0,Nowe Miasto,1.0
1349,496900.0,57.78,3.0,Nowe Miasto,1.0
1350,462372.0,43.62,2.0,Wilda,3.0
1351,682600.0,71.11,4.0,Nowe Miasto,1.0
1352,431067.0,47.37,2.0,Nowe Miasto,3.0
1353,337635.0,36.6,2.0,Nowe Miasto,2.0
1354,438000.0,48.37,2.0,Grunwald,0.0
1355,454000.0,48.35,2.0,Grunwald,5.0
1356,324700.0,38.2,2.0,Nowe Miasto,2.0
1357,432000.0,46.64,2.0,Grunwald,0.0
1358,389014.0,44.85,3.0,Stare Miasto,4.0
1359,496908.0,57.78,3.0,Nowe Miasto,1.0
1360,403704.0,45.36,2.0,Nowe Miasto,2.0
1361,350523.0,40.29,2.0,Nowe Miasto,0.0
1362,439900.0,42.9,2.0,Jeżyce,0.0
1363,277801.0,27.99,2.0,Stare Miasto,2.0
1364,504845.0,60.28,4.0,Stare Miasto,3.0
1365,373152.0,40.56,2.0,Stare Miasto,3.0
1366,487135.0,57.31,2.0,Jeżyce,3.0
1367,447128.0,50.81,2.0,Stare Miasto,2.0
1368,397320.0,45.15,2.0,Stare Miasto,2.0
1369,397320.0,45.15,2.0,Stare Miasto,2.0
1370,426000.0,46.39,2.0,wielkopolskie,1.0
1371,682600.0,71.11,4.0,Nowe Miasto,1.0
1372,516000.0,67.33,3.0,Grunwald,0.0
1373,449000.0,48.35,2.0,Grunwald,2.0
1374,397320.0,45.15,2.0,Stare Miasto,2.0
1375,388290.0,45.15,2.0,Stare Miasto,2.0
1376,381969.0,40.42,3.0,Nowe Miasto,3.0
1377,292490.0,26.59,1.0,Nowe Miasto,6.0
1378,520000.0,51.61,3.0,Jeżyce,4.0
1379,399840.0,40.08,2.0,Nowe Miasto,2.0
1380,569000.0,82.8,4.0,Grunwald,0.0
1381,544000.0,67.41,3.0,Grunwald,1.0
1382,559344.0,65.04,3.0,Stare Miasto,1.0
1383,688881.0,86.38,4.0,Stare Miasto,4.0
1384,319748.0,37.18,2.0,Stare Miasto,0.0
1385,450000.0,36.81,2.0,Grunwald,2.0
1386,334400.0,39.81,2.0,Nowe Miasto,1.0
1387,364600.0,42.9,2.0,Nowe Miasto,1.0
1388,393200.0,46.26,2.0,Nowe Miasto,1.0
1389,352082.0,38.48,2.0,Nowe Miasto,4.0
1390,550179.0,87.33,3.0,Jeżyce,2.0
1391,688200.0,70.95,4.0,Nowe Miasto,0.0
1392,512800.0,57.62,3.0,Nowe Miasto,2.0
1393,403700.0,45.36,2.0,Nowe Miasto,2.0
1394,473448.0,46.19,3.0,Nowe Miasto,5.0
1395,360712.0,40.99,2.0,Stare Miasto,0.0
1396,692406.0,69.94,3.0,Grunwald,2.0
1397,390285.0,49.56,2.0,Stare Miasto,0.0
1398,604240.0,73.0,4.0,Nowe Miasto,3.0
1399,514000.0,49.94,3.0,Jeżyce,4.0
1400,671000.0,66.98,4.0,Jeżyce,4.0
1401,691000.0,69.12,4.0,Jeżyce,4.0
1402,490000.0,47.37,3.0,Jeżyce,4.0
1403,642000.0,68.2,3.0,Jeżyce,4.0
1404,572000.0,59.05,3.0,Jeżyce,4.0
1405,573000.0,56.23,3.0,Jeżyce,0.0
1406,492000.0,50.03,3.0,Jeżyce,4.0
1407,527000.0,53.82,3.0,Jeżyce,4.0
1408,580000.0,59.75,3.0,Jeżyce,4.0
1409,570000.0,59.68,3.0,Jeżyce,4.0
1410,570000.0,59.73,3.0,Jeżyce,4.0
1411,439000.0,46.49,2.0,Jeżyce,3.0
1412,558000.0,57.25,3.0,Jeżyce,4.0
1413,542000.0,56.23,3.0,Jeżyce,0.0
1414,413000.0,39.71,2.0,Jeżyce,0.0
1415,409000.0,39.71,2.0,Jeżyce,0.0
1416,426000.0,44.38,2.0,Jeżyce,0.0
1417,640000.0,66.39,3.0,Jeżyce,0.0
1418,407000.0,39.22,2.0,Jeżyce,0.0
1419,630000.0,66.88,3.0,Jeżyce,0.0
1420,560000.0,56.6,3.0,Jeżyce,4.0
1421,588000.0,64.52,3.0,Jeżyce,0.0
1422,419000.0,43.74,2.0,Jeżyce,3.0
1423,408000.0,45.59,2.0,Jeżyce,0.0
1424,507800.0,50.78,2.0,Grunwald,3.0
1425,629000.0,69.81,4.0,Jeżyce,3.0
1426,428000.0,39.3,2.0,Jeżyce,3.0
1427,620000.0,66.14,3.0,Jeżyce,3.0
1428,521000.0,52.25,3.0,Jeżyce,3.0
1429,551000.0,60.74,3.0,Jeżyce,0.0
1430,547000.0,60.71,3.0,Jeżyce,2.0
1431,532000.0,60.59,3.0,Jeżyce,1.0
1432,553000.0,60.71,3.0,Jeżyce,2.0
1433,583000.0,60.74,3.0,Jeżyce,0.0
